,transmission_Dual Shift,HP,fuel_type_E85 Flex Fuel,cylinder_type_V,accident_1,turbo_Y,fuel_type_Electric,fuel_type_Gasoline,cylinder_type_Inline,transmission_Manual,cylinders,turbo_N,transmission_CVT,fuel_type_not supported,fuel_type_Plug-In Hybrid,fuel_type_Hybrid,transmission_speed,cylinder_type_Straight
39573,0,-1.8074009467468646,0,0,1,0,0,1,1,1,-1.3955687622238973,1,0,0,0,0,0.32254142398517793,0
29989,0,-0.24956199346071717,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
26792,1,1.4543243616960064,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
35213,0,-0.7850691336528303,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
42286,0,-1.378995234593174,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
26323,0,-0.24956199346071717,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
35228,1,-0.20087952617052504,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
35491,0,0.07174229065455073,0,0,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,1
26464,0,0.9188172215038933,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
21100,0,-1.3205762738449434,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.32254142398517793,0
929,0,-0.8337516009430224,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
16703,0,-0.24956199346071717,0,0,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,1
45115,0,-0.9311165355234067,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
8468,0,-1.3205762738449434,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
28729,1,1.9216760476818506,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
51291,0,-0.7363866663626382,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
9887,0,-0.19114303271248664,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
49482,0,-0.7565551170971465,0,0,0,1,0,1,1,0,-1.3955687622238973,0,0,0,0,0,1.135010605835675,0
26000,0,-0.6195487448661772,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
21746,0,-1.310839780386905,0,0,1,0,0,0,1,0,-1.3955687622238973,1,1,0,0,1,-1.0315738790989837,0
9728,0,-0.7850691336528303,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
3697,0,0.3547960647560961,0,1,0,0,0,1,0,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
38746,0,-0.39560939533129347,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
47544,0,-0.6877041990724461,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,1.135010605835675,0
45344,1,0.09121527757062757,0,1,0,0,0,0,0,0,-0.12743557513004955,1,0,0,0,1,-1.0315738790989837,0
41990,1,-0.9311165355234067,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
44988,0,-0.15219705888033294,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
53277,0,-0.31187555159216285,0,0,0,1,0,1,1,0,-1.3955687622238973,0,0,0,0,0,1.4058336664525073,0
19585,0,-1.4082047149672892,0,0,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.32254142398517793,1
28504,0,-0.23008900654464032,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
4394,0,-1.9826578289915562,0,0,0,0,0,1,1,1,-1.3955687622238973,1,0,0,0,0,0.32254142398517793,0
23819,0,-0.15219705888033294,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
23797,0,0.37790091827953676,0,1,0,0,0,1,0,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
19414,0,-0.054832124299948735,0,0,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,1
6931,0,-0.8824340682332145,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
25345,0,0.6169859243047023,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,1
31875,0,0.07174229065455073,0,0,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,1
51881,1,1.6003717635665828,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
49799,0,-1.2329478327225978,0,0,1,0,0,0,1,0,-1.3955687622238973,1,0,0,0,1,-1.0315738790989837,0
15036,0,-1.2232113392645592,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.05171836336834561,0
38030,0,-1.6516170514182498,0,0,1,0,0,0,1,0,-1.3955687622238973,1,0,0,0,1,-1.0315738790989837,0
29534,0,0.09121527757062757,0,1,0,0,0,0,0,0,-0.12743557513004955,1,0,0,0,1,1.135010605835675,0
11549,0,-1.378995234593174,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
2353,0,1.3374864401995454,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
36897,0,-0.006149657009756634,0,0,0,0,0,1,1,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
10245,0,-0.639021731782254,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
12522,0,0.48067501589216444,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
29862,0,-1.7392454925405956,0,0,0,0,0,1,1,0,-1.3955687622238973,1,1,0,0,0,-1.0315738790989837,0
7154,0,0.8798712476717396,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
53346,0,0.6754048850529328,1,0,0,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,1.6766567270693398,0
6926,0,-0.24956199346071717,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.05171836336834561,0
9206,0,-0.054832124299948735,1,0,1,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
46621,0,-1.145319391600252,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.8641875452188427,0
41493,1,2.184561371048888,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
3114,0,1.2206485187030844,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.8641875452188427,0
36333,0,0.04253281028043547,0,0,0,0,0,1,1,0,-0.12743557513004955,1,0,0,0,0,0.8641875452188427,0
27338,1,-0.39560939533129347,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
39155,0,1.3082769598254302,0,0,0,0,0,1,1,1,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
1718,1,-1.2134748458065208,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
47865,0,0.09121527757062757,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,1
24238,0,0.22752618598316546,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
42597,0,0.48067501589216444,0,0,0,0,0,0,0,0,-0.12743557513004955,1,0,0,0,1,1.135010605835675,1
49776,0,-0.29824446075090927,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
39343,0,2.2819263056292725,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.8641875452188427,0
50715,0,-0.3663999149571782,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
53766,0,0.062005797196512315,0,1,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
29268,1,-0.8337516009430224,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
51049,0,0.23726267944120388,0,0,0,0,0,1,1,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
18994,0,0.9188172215038933,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
46514,0,-1.4860966626315966,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
48484,0,1.3082769598254302,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.6766567270693398,0
26344,0,1.0161821560842776,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
46411,0,-1.2134748458065208,0,0,1,0,0,1,1,1,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
48189,1,1.7951016327273512,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
7286,0,0.13989774486081968,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
10753,0,-1.2232113392645592,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
25672,0,-0.824015107484984,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
50775,0,-0.5903392644920619,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
14034,0,0.35410060093766493,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.4058336664525073,0
