,price
39573,13000
29989,8500
26792,61350
35213,17900
42286,20900
26323,11499
35228,25800
35491,24500
26464,33000
21100,16995
929,15000
16703,15500
45115,6399
8468,28000
28729,17500
51291,16900
9887,17000
49482,43499
26000,7500
21746,9950
9728,4800
3697,42816
38746,70000
47544,42000
45344,61059
41990,20000
44988,19000
53277,33295
19585,4700
28504,12995
4394,10800
23819,39900
23797,68995
19414,19950
6931,8900
25345,41999
31875,28900
51881,65000
49799,12500
15036,17000
38030,10000
29534,69900
11549,36500
2353,42250
36897,69995
10245,10000
12522,6000
29862,26750
7154,20500
53346,45000
6926,5000
9206,29444
46621,63000
41493,37900
3114,41500
36333,56000
27338,42500
39155,33000
1718,15999
47865,24900
24238,71000
42597,62500
49776,39750
39343,65000
50715,14750
53766,21500
29268,29998
51049,32500
18994,63500
46514,18700
48484,41000
26344,15500
46411,6700
48189,22500
7286,29000
10753,9000
25672,30950
50775,16900
14034,54500
23327,5000
44347,41000
43129,32000
50701,21500
24992,8500
27843,30000
4239,11495
19791,10700
9455,45423
27930,17500
1628,48000
11027,32500
30267,63000
35787,22995
48812,33500
34890,15000
438,31000
48951,8995
32876,13715
14516,47000
46358,12000
19377,46900
43169,43000
38640,16500
48928,6000
38380,44950
22754,24500
37709,6450
30151,82150
2027,26497
50750,36750
32805,5500
26487,10750
12461,44800
52675,68995
43786,18500
8275,32850
45032,15000
20791,49900
34625,7450
222,17900
47410,6500
35545,32500
20018,39500
28049,65000
45903,35000
33295,36000
20964,8450
8820,7750
36959,16000
50565,32000
3950,35500
14576,18900
19788,17999
13323,14995
53814,5000
30335,56000
24325,80300
18749,55000
31960,31000
13401,17500
50559,44950
21237,50000
4834,78500
22417,31985
42370,15000
51634,10000
6712,40500
30444,35000
53481,42000
44006,4500
2921,9750
34063,21500
13457,38000
40680,17900
21744,33500
12696,19977
7720,5750
39143,37500
31487,29999
37649,14995
29225,24900
11709,54999
50728,43550
40231,27000
32641,29999
38585,36000
38778,12995
4551,38880
49235,24000
46818,29000
8454,18000
35070,62900
47178,9000
49284,6995
16229,15500
9353,29000
20264,7200
114,45000
26203,31953
28139,10750
43694,16500
8730,80300
24152,31000
8626,78000
49371,38000
28492,16999
19233,40500
28902,57500
40496,16995
3400,41000
20400,67500
44951,43449
24784,9950
24335,13300
4361,13000
10554,12468
35218,15995
44176,31900
2655,15000
51763,50000
26802,11800
50956,23500
